                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.43288,                0.50512,                0.92539,                0.99538,                      1,                  0.995,                0.93834,                0.35904,                0.58953,                0.82683,              0.0010496,              0.0010496,              0.0010496
                     51,                0.37335,                0.46947,                0.88321,                0.99598,                      1,                  0.995,                0.96081,                0.28428,                0.57779,                0.81507,              0.0010298,              0.0010298,              0.0010298
                     52,                0.37742,                0.47315,                0.88293,                0.99698,                      1,                  0.995,                0.95891,                0.35442,                0.56211,                0.82488,                0.00101,                0.00101,                0.00101
                     53,                0.34396,                0.44355,                0.84884,                0.99735,                      1,                  0.995,                0.94083,                0.34278,                0.47665,                 0.8262,              0.0009902,              0.0009902,              0.0009902
                     54,                0.33872,                0.43968,                0.87314,                0.99745,                      1,                  0.995,                0.96244,                0.29609,                0.44299,                0.82475,              0.0009704,              0.0009704,              0.0009704
                     55,                0.40876,                 0.4601,                0.94653,                0.99746,                      1,                  0.995,                0.95012,                0.30664,                0.43551,                0.82286,              0.0009506,              0.0009506,              0.0009506
                     56,                0.35188,                0.44235,                0.89447,                0.99746,                      1,                  0.995,                0.93704,                0.36914,                0.51954,                0.82362,              0.0009308,              0.0009308,              0.0009308
                     57,                0.38441,                 0.4729,                0.90216,                0.99743,                      1,                  0.995,                0.91054,                0.36742,                0.55012,                0.82282,               0.000911,               0.000911,               0.000911
                     58,                0.35078,                 0.4289,                 0.8688,                0.99743,                      1,                  0.995,                0.94364,                 0.3173,                0.48412,                0.81432,              0.0008912,              0.0008912,              0.0008912
                     59,                0.35331,                0.44058,                0.89211,                0.99745,                      1,                  0.995,                0.92542,                0.32654,                0.42455,                0.81549,              0.0008714,              0.0008714,              0.0008714
                     60,                0.32644,                0.40414,                0.87664,                 0.9974,                      1,                  0.995,                0.92554,                 0.3269,                0.46143,                0.81711,              0.0008516,              0.0008516,              0.0008516
